"tax_id","parent_id","rank","tax_name","root","superkingdom","below_superkingdom","below_below_superkingdom","family","genus","below_genus","species","below_species"
"1","1","root","root","1","","","","","","","",""
"10239","1","superkingdom","Viruses","1","10239","","","","","","",""
"439488","10239","below_superkingdom","ssRNA viruses","1","10239","439488","","","","","",""
"35278","439488","below_below_superkingdom","ssRNA positive-strand viruses, no DNA stage","1","10239","439488","35278","","","","",""
"119163","35278","family","Luteoviridae","1","10239","439488","35278","119163","","","",""
"119164","119163","genus","Polerovirus","1","10239","439488","35278","119163","119164","","",""
"328429","119164","below_genus","unclassified Polerovirus","1","10239","439488","35278","119163","119164","328429","",""
"1963256","328429","species","African eggplant yellowing virus","1","10239","439488","35278","119163","119164","328429","1963256",""
"1825924","328429","species","Barley virus G","1","10239","439488","35278","119163","119164","328429","1825924",""
"131082","119164","species","Beet chlorosis virus","1","10239","439488","35278","119163","119164","","131082",""
"156690","119164","species","Beet mild yellowing virus","1","10239","439488","35278","119163","119164","","156690",""
"12042","119164","species","Beet western yellows virus","1","10239","439488","35278","119163","119164","","12042",""
"1046403","328429","species","Brassica yellows virus","1","10239","439488","35278","119163","119164","328429","1046403",""
"66200","119164","species","Carrot red leaf virus","1","10239","439488","35278","119163","119164","","66200",""
"228582","119164","species","Cereal yellow dwarf virus-RPS","1","10239","439488","35278","119163","119164","","228582",""
"191217","119164","species","Cereal yellow dwarf virus-RPV","1","10239","439488","35278","119163","119164","","191217",""
"328430","119164","species","Chickpea chlorotic stunt virus","1","10239","439488","35278","119163","119164","","328430",""
"312295","119164","species","Cotton leafroll dwarf virus","1","10239","439488","35278","119163","119164","","312295",""
"1913124","328429","species","Cowpea polerovirus 1","1","10239","439488","35278","119163","119164","328429","1913124",""
"1913125","328429","species","Cowpea polerovirus 2","1","10239","439488","35278","119163","119164","328429","1913125",""
"91753","119164","species","Cucurbit aphid-borne yellows virus","1","10239","439488","35278","119163","119164","","91753",""
"1462682","328429","species","Luffa aphid-borne yellows virus","1","10239","439488","35278","119163","119164","328429","1462682",""
"1341876","119164","species","Maize yellow dwarf virus-RMV","1","10239","439488","35278","119163","119164","","1341876",""
"1856642","328429","species","Maize yellow mosaic virus","1","10239","439488","35278","119163","119164","328429","1856642",""
"471717","119164","species","Melon aphid-borne yellows virus","1","10239","439488","35278","119163","119164","","471717",""
"1462681","328429","species","Pepo aphid-borne yellows virus","1","10239","439488","35278","119163","119164","328429","1462681",""
"909827","119164","species","Pepper vein yellows virus","1","10239","439488","35278","119163","119164","","909827",""
"881944","328429","species","Pepper yellow leaf curl virus","1","10239","439488","35278","119163","119164","328429","881944",""
"698400","328429","species","Pepper yellows virus","1","10239","439488","35278","119163","119164","328429","698400",""
"1756832","328429","species","Phasey bean mild yellows virus","1","10239","439488","35278","119163","119164","328429","1756832",""
"12045","119164","species","Potato leafroll virus","1","10239","439488","35278","119163","119164","","12045",""
"1577997","328429","species","Sauropus yellowing virus","1","10239","439488","35278","119163","119164","328429","1577997",""
"1564903","328429","species","Strawberry polerovirus 1","1","10239","439488","35278","119163","119164","328429","1564903",""
"646010","119164","species","Suakwa aphid-borne yellows virus","1","10239","439488","35278","119163","119164","","646010",""
"94290","119164","species","Sugarcane yellow leaf virus","1","10239","439488","35278","119163","119164","","94290",""
"192203","119164","species","Tobacco vein distorting virus","1","10239","439488","35278","119163","119164","","192203",""
"1972995","328429","species","Tobacco virus 2","1","10239","439488","35278","119163","119164","328429","1972995",""
"131083","119164","species","Turnip yellows virus","1","10239","439488","35278","119163","119164","","131083",""
"572239","328429","species","Wheat yellow dwarf virus-GPV","1","10239","439488","35278","119163","119164","328429","572239",""
"1913024","328429","species","White clover mottle virus","1","10239","439488","35278","119163","119164","328429","1913024",""
"1564916","312295","below_species","Cotton atypical red leaf virus","1","10239","439488","35278","119163","119164","","312295","1564916"
"1833824","1856642","below_species","Maize yellow dwarf virus-RMV2","1","10239","439488","35278","119163","119164","328429","1856642","1833824"
